"gender","name","score"
"f","fawn","0.008453"
"f","sonji","0.012800"
"f","linsey","0.011482"
"f","sonja","0.038782"
"f","andra","0.008075"
"f","roslyn","0.012143"
"f","elva","0.007918"
"f","francesca","0.022841"
"f","gabriella","0.128437"
"f","gabrielle","0.116568"
"f","cherrie","0.006333"
"f","karlee","0.020247"
"f","paris","0.033740"
"f","marylou","0.009714"
"f","ali","0.014053"
"f","krysten","0.011071"
"f","lori","0.367121"
"f","pamela","0.302610"
"f","regan","0.021807"
"f","lora","0.044973"
"f","karley","0.014006"
"f","callie","0.034141"
"f","aurora","0.019304"
"f","kiana","0.042800"
"f","risa","0.006420"
"f","elisabeth","0.033070"
"f","iyanna","0.012460"
"f","sarita","0.009200"
"f","yulissa","0.032000"
"f","deloris","0.013427"
"f","elissa","0.014328"
"f","harriet","0.014700"
"f","caryn","0.015890"
"f","eileen","0.049606"
"f","haylie","0.021506"
"f","cher","0.011333"
"f","samara","0.024923"
"f","anjali","0.011780"
"f","calleigh","0.016600"
"f","tameka","0.033620"
"f","paulette","0.029481"
"f","faye","0.015655"
"f","joell","0.006800"
"f","krissy","0.010567"
"f","briley","0.017150"
"f","liberty","0.026300"
"f","antoinette","0.038234"
"f","petra","0.007422"
"f","estefani","0.012433"
"f","meg","0.007843"
"f","arely","0.021230"
"f","collette","0.008238"
"f","taryn","0.030481"
"f","jaida","0.022117"
"f","eunice","0.011173"
"f","jasmine","0.299751"
"f","nayeli","0.033300"
"f","estefany","0.011150"
"f","dora","0.023827"
"f","averi","0.013850"
"f","ashlynn","0.038450"
"f","dori","0.008950"
"f","nayely","0.016700"
"f","audra","0.028971"
"f","cindi","0.013500"
"f","stevie","0.015119"
"f","karis","0.013100"
"f","cinda","0.006400"
"f","gerri","0.009092"
"f","lashawn","0.017400"
"f","cindy","0.174560"
"f","latosha","0.017672"
"f","karie","0.011779"
"f","joshua","0.013333"
"f","yareli","0.019850"
"f","marianna","0.015540"
"f","tatia","0.012000"
"f","marquita","0.029777"
"f","marianne","0.033788"
"f","julie","0.430012"
"f","reagan","0.058133"
"f","julia","0.231916"
"f","lynne","0.046479"
"f","marina","0.029094"
"f","sloane","0.013900"
"f","lynsey","0.011117"
"f","janine","0.037046"
"f","mallorie","0.010650"
"f","ebony","0.057703"
"f","zoie","0.021392"
"f","sarah","0.838118"
"f","sarai","0.022918"
"f","keara","0.012433"
"f","lorri","0.019964"
"f","vanesa","0.011900"
"f","cali","0.019900"
"f","giovanna","0.015216"
"f","marva","0.007200"
"f","leesa","0.007700"
"f","jordyn","0.075624"
"f","melba","0.009214"
"f","debora","0.038340"
"f","gianna","0.081076"
"f","flora","0.010900"
"f","lilliana","0.025200"
"f","magen","0.010386"
"f","myranda","0.013737"
"f","sherlyn","0.024386"
"f","racheal","0.015319"
"f","makenzie","0.064437"
"f","janene","0.008967"
"f","addyson","0.046467"
"f","jayde","0.012340"
"f","darleen","0.007338"
